BNWNIM.tex,Input,Output,Example,Constraints
TRAINING.tex,Yêu cầu,Dữ liệu,Kết quả,Ví dụ
LSEA.tex,Giới hạn,Input,Output,Example
NDIGIT.tex,Dữ liệu,Kết quả,Chấm điểm,Ví dụ
DPER.tex,Input,Output,Example,Constraint
C11PINES.tex,Input,Output,Giới hạn,Example
VOEXC.tex,Input,Output,Giới hạn,Example
NKONEARC.tex,Dữ liệu,Kết qủa,Hạn chế,Ví dụ
VMMUMMY.tex,Input,Output,Giới hạn,Example
NKMINES.tex,Dữ liệu,Kết qủa,Giới hạn,Ví dụ
NHREMIND.tex,Input,Output,Example,Giới hạn
TCONCERT.tex,Input,Output,Constraints,Example
VQUERY.tex,Input,Output,Giới hạn:,Example
VOSMAXK.tex,\textbf{Dữ liệu vào:,\textbf{Dữ liệu ra:,\textbf{Ràng buộc:,\textbf{Ví dụ:
VMXGAME.tex,Input,Output,Cách tính điểm:,Example
CPPSET.tex,Dữ liệu,Kết quả,Ví dụ,Gợi ý
VMSQUARE.tex,Input,Output,Giới hạn,Example
LANDK.tex,Mua đất,Input,Output,Ví dụ
FINFRAC.tex,Input,Output,Example,Constraints
KBUILD.tex,Input,Output,Giới hạn,Example
VBOARD.tex,Dữ liệu,Kết quả,Giới hạn,Ví dụ
DANCING.tex,Dữ liệu,Kết qủa,Giới hạn,Ví dụ
NKH.tex,Yêu cầu:,Dữ Liệu,Kết Quả,Ví Dụ
HAOI6000.tex,Dữ liệu,Kết quả,Giới hạn,Ví dụ
SPACESET.tex,Input,Output,Example,Constraints
RIVERS.tex,Yêu cầu,Dữ liệu,Kết quả,Ví dụ
TBIKE.tex,Input,Output,Constraints,Example
C11GENIE.tex,Dữ liệu vào,Dữ liệu ra,\textbf{    Giới hạn:,Ví dụ
MAJMUN.tex,Input,Output,Example
PBCFIBO.tex,Dữ liệu vào,Dữ liệu ra,Giới hạn,Ví dụ
MINK.tex,Bài này O(N) mới thực sự coi là accept . Còn lại O(NlogN) hay O(N*K) thì bạn chỉ may mắn accept thôi .,Input,Output,Example
VOSRTRI.tex,DỮ LIỆU VÀO,DỮ LIỆU RA,RÀNG BUỘC,VÍ DỤ
PBCDEM.tex,Giới hạn,Dữ liệu vào,Dữ liệu ra,Ví Dụ
CTF.tex,Dữ liệu,Kết quả,Giới hạn,Ví dụ
HCN3D.tex,Dữ liệu,Kết quả,Ví dụ,Giới hạn
TOINCSEQ.tex,Input,Output,Example,Giới hạn
BINLADEN.tex,Dữ liệu,Kết quả,Ví dụ,Giới hạn
FLOOD.tex,Yêu cầu,Dữ liệu,Kết quả,Ví dụ
FLOWER.tex,Dữ liệu,Kết quả,Giới hạn,Ví dụ
VMTREE.tex,Input,Output,Chấm điểm,Example
NHP.tex,Dữ liệu,Kết quả,Giới hạn,Ví dụ
PWALK.tex,DỮ LIỆU,KẾT QUẢ,VÍ DỤ,GIẢI THÍCH
ORDERSET.tex,Tập hợp thứ tự,Dữ liệu,Kết quả,Ví dụ
V11WATER.tex,Input,Output,Giới hạn,Example
VNABOR.tex,Dữ liệu,Kết quả,Ví dụ,Giải thích
NDCCARD.tex,Yêu cầu: Bạn hãy tìm kết quả tốt nhất có thể có của trò chơi trên.,Dữ liệu:,Kết quả:,Ví dụ:
SELFDIV.tex,Input,Output,Example,Giới hạn
CATGO.tex,Dữ liệu,Kết quả,Giới hạn,Ví dụ
VORAIN.tex,Input,Output,Giới hạn,Example
QBCIRARC.tex,Input,Output,Example,Hạn chế:
KTOUR.tex,Input,Output,Giới hạn,Example
NAIL.tex,Dữ liệu,Kết qủa,Giới hạn,Ví dụ
ROBOT2.tex,Yêu cầu,Dữ liệu,Kết quả,Ví dụ
CARDSHUF.tex,Dữ liệu,Kết quả,Ví dụ,Giới hạn
NKPATH.tex,Dữ liệu vào,Kết qủa,Hạn chế,Ví dụ
VMQUABEO.tex,Input,Output,Giới hạn,Example
KDIFF.tex,Input,Output,Giới hạn,Example
VTRI.tex,Dữ liệu,Kết quả,Hạn chế,Ví dụ
TWINSNOW.tex,Dữ liệu,Kết quả,Ví dụ,Giới hạn
BIGNUM.tex,Chú ý:,Input,Output,Example
NPR.tex,Chú ý,Dữ liệu,Kết quả,Ví dụ
FWFUNC.tex,Input,Output,Example,Constraints
DAMAGE.tex,Dữ liệu,Kết quả,Ví dụ,Giải thích
KHISTORY.tex,Input,Output,Giới hạn,Example
KMIN.tex,Input,Output,Example,Giới hạn
VMREL6.tex,Input,Output,Giới hạn,Example
DQUERY.tex,Truy vấn-d,Dữ liệu,Kết quả,Ví dụ
NKTOSS.tex,Dữ liệu,Kết qủa,Giới hạn,Ví dụ
VMTEST.tex,Input,Output,Giới hạn,Example
ADWFNSNW.tex,Dữ liệu,Kết quả,Ví dụ,Giới hạn
GLOVE.tex,Task,Input,Output,Example
BALLGAME.tex,Dữ liệu,Kết quả,Ví dụ,Giới hạn
COUNTPL.tex,Yêu cầu,Input,Output,Example
LIGHTS.tex,Yêu cầu:,Dữ liệu:,Kết quả:,Ví dụ:
PBCRECT.tex,Dữ liệu,Kết qủa,Giới hạn,Ví dụ
PBCWRI.tex,Dữ liệu,Kết qủa,Giới hạn,Ví dụ
BGAME.tex,Task,Input,Output,Example
VWORDS.tex,Yêu cầu,Dữ liệu,Kết quả,Ví dụ
PBCWAYS.tex,Yêu cầu,Input,Output,Example
VMVSOS.tex,Input,Output,Giới hạn,Example
QTREE3.tex,Dữ liệu,Kết quả,Ví dụ,Giới hạn
VMSWAP.tex,Input,Output,Giới hạn,Example
SUMS.tex,Yêu cầu:,Dữ liệu:,Kết quả:,Ví dụ:
VMWTREE.tex,Input,Giới hạn,Output,Example
VOPIG.tex,Input,Output,Giới hạn:,Example:
NKABD.tex,Dữ liệu,Kết quả,Chú ý,Ví dụ
KMIX.tex,Input,Output,Giới hạn,Example
