COLORECT.tex,Đề bài,Dữ liệu,Kết quả,Giới hạn,Ví dụ
QOS.tex,Yêu cầu,Input,Output,Giới hạn,Example
NKJUMP.tex,Yêu cầu,Dữ liệu,Kết quả,Ràng buộc,Ví dụ
ARITHSEQ.tex,Yêu cầu,Dữ liệu,Kết quả,Ví dụ,Giới hạn
VMBW.tex,Input,Output,Chấm điểm,Giới hạn,Example
SUPERSUM.tex,Đề bài,Dữ liệu,Kết quả,Giới hạn,Ví dụ
VMCXG.tex,Input,Output,Giới hạn,Chấm điểm,Ví dụ
MEXICO.tex,Yêu cầu,Ràng buộc,Dữ liệu,Kết quả,Cách chấm điểm
C11PF.tex,Yêu cầu,Dữ liệu,Kết quả,Ví dụ,Giới hạn
COMPUTER.tex,Yêu cầu,Dữ liệu,Kết quả,Giới hạn,Ví dụ
VMECLIP.tex,Input,Output,Giới hạn,Chấm bài,Example
VMMIRROR.tex,Input,Output,Chấm điểm,Giới hạn,Example
BALGAME3.tex,Yêu cầu,Dữ liệu,Kết quả,Ví dụ,Giới hạn
DRLINES.tex,Đề bài,Dữ liệu,Kết quả,Giới hạn,Ví dụ
NKGIFTS.tex,Yêu cầu,Dữ liệu,Kết quả,Ràng buộc,Ví dụ
KANDP.tex,Dữ liệu,Kết quả,Giới hạn,Ví dụ,Giải thích
CHNREST.tex,Yêu cầu,Dữ liệu,Kết quả,Ví dụ,Giới hạn
VOTREE.tex,Input,Output,Giới hạn,Chú ý:,Example
MARBLE.tex,Dữ liệu,Kết quả,Ví dụ,Giải thích,Giới hạn
MOBIVINA.tex,Yêu cầu,Dữ liệu,Kết quả,Ví dụ,Giới hạn
LCS2X.tex,Yêu cầu,Input,Giới hạn,Output,Example
VMCOMP.tex,Input,Output,Giới hạn,Chấm bài,Example
NKSGAME.tex,Yêu cầu,Dữ liệu,Kết quả,Ràng buộc,Ví dụ
AIRCTRL.tex,Dữ liệu,Kết quả,Ví dụ,Giải thích,Giới hạn
EQSTR.tex,Đề bài,Dữ liệu,Kết quả,Giới hạn,Ví dụ
VMTRIP.tex,Input,Output,Giới hạn:,Chấm điểm,Example
BUS_.tex,Yêu cầu,Input,Output,Giới hạn,Example
COMMAND.tex,Đề bài,Dữ liệu,Kết quả,Giới hạn,Ví dụ
QUAD.tex,CHÚ Ý,Dữ liệu,Kết quả,Ví dụ,GIẢI THÍCH
VM15SWAP.tex,Input,Output,Giới hạn,Ví dụ,Giải thích
NK05DSRT.tex,Dữ liệu vào,Kết qủa,Giới hạn,Ví dụ,Giải thích
VMSUM2.tex,Input,Output,Giới hạn,Example,Giải thích
TPCLKNUM.tex,Input,Output,Example,Giải thích,Giới hạn :
VMRESTO.tex,Input,Output,Giới hạn,Example,Giải thích
PBCSEQ.tex,Yêu cầu,Dữ liệu,Kết quả,Giới hạn,Ví dụ
VOBOARD3.tex,Input,Output,Giới hạn,Chấm điểm,Ví dụ
VOCACTUS.tex,Input,Output,Giới hạn:,Example,Giải thích
MINROAD.tex,Yêu cầu,Input,Output,Giới hạn,Example
SUMTREE.tex,Dữ liệu,Giới hạn,Kết quả,Ví dụ,Giải thích
VMMARBLE.tex,Input,Output,Giới hạn,Example,Giải thích
